mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,ipc_0,ipc_1,ipc_2,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2
REGA,MEAN,False,512,32,0.65,Mix41,3.857063291438041,2.89752978631645,0.30079867702967833,0,0,0,0,0,0,0,24331139.106000002,100000001,100000000,100000001
REGA,MEAN,False,256,32,0.65,Mix41,3.8562577248071936,2.8686780574987503,0.2861724187168478,0,0,0,0,0,0,0,26146369.10175,100000001,100000000,100000003
REGA,MEAN,False,128,32,0.65,Mix41,3.834976256319993,2.8229607545503095,0.24805073425273866,0,0,0,0,0,0,0,30522514.195000004,100000001,100000000,100000001
REGA,MEAN,False,64,32,0.65,Mix41,3.812837602936129,2.6684672060190375,0.16686791632255651,0,0,0,0,0,0,0,43182478.5106875,100000001,100000000,100000002
RFM,MEAN,False,4096,32,0.65,Mix41,3.8454784115420955,2.848977200091304,0.29522754667360734,0,21315,0,0,0,0,0,24712906.480437502,100000001,100000000,100000001
RFM,MEAN,False,2048,32,0.65,Mix41,3.8454784115420955,2.848977200091304,0.29522754667360734,0,21315,0,0,0,0,0,24712906.480437502,100000001,100000000,100000001
RFM,MEAN,False,1024,32,0.65,Mix41,3.8454784115420955,2.848977200091304,0.29522754667360734,0,21315,0,0,0,0,0,24712906.480437502,100000001,100000000,100000001
RFM,MEAN,False,512,32,0.65,Mix41,3.8462458986518833,2.845882189185767,0.29173292298103004,0,28487,0,0,0,0,0,24954578.7305625,100000001,100000000,100000001
RFM,MEAN,False,256,32,0.65,Mix41,3.8423431668884085,2.814576964297485,0.27108042856557946,0,66716,0,0,0,0,0,26613214.762562502,100000001,100000000,100000000
RFM,MEAN,False,128,32,0.65,Mix41,3.831105449758941,2.7498199761607105,0.2353845748296646,0,151412,0,0,0,0,0,30214346.295812503,100000001,100000000,100000002
RFM,MEAN,False,64,32,0.65,Mix41,3.8096519970557488,2.5781319649846366,0.1752199888690452,0,399322,0,0,0,0,0,39945185.844875,100000001,100000000,100000001
TWiCe-Ideal,MEAN,False,4096,32,0.65,Mix41,3.789853856415021,2.6318468416732523,0.3601905889411066,1800,0,0,0,0,0,0,20747433.735562503,100000001,100000000,100000001
TWiCe-Ideal,MEAN,False,2048,32,0.65,Mix41,3.8102082335931957,2.6842683087230665,0.36286072147248183,3600,0,0,0,0,0,0,20595371.02625,100000001,100000000,100000001
TWiCe-Ideal,MEAN,False,1024,32,0.65,Mix41,3.8241897975971084,2.7098863918068643,0.3610876765211392,8860,0,0,0,0,0,0,20650405.769500002,100000001,100000000,100000001
TWiCe-Ideal,MEAN,False,512,32,0.65,Mix41,3.8198035574364946,2.708307435143485,0.3568956668751901,21625,0,0,0,0,0,0,20810834.6404375,100000001,100000000,100000002
TWiCe-Ideal,MEAN,False,256,32,0.65,Mix41,3.8233593105106825,2.6986780255823883,0.3192645424700867,63960,0,0,0,0,0,0,22848386.955875,100000001,100000000,100000002
TWiCe-Ideal,MEAN,False,128,32,0.65,Mix41,3.81869847072202,2.731315371984942,0.279878817737277,148301,0,0,0,0,0,0,25489902.333125003,100000001,100000000,100000003
TWiCe-Ideal,MEAN,False,64,32,0.65,Mix41,3.8090824293809455,2.6862168814977574,0.2534241858007562,304361,0,0,0,0,0,0,27463091.9245,100000001,100000000,100000002
Dummy,NONE,False,0,0,0.0,Mix41,3.5853357403365074,1.8594575843221246,0.11689295767605992,0,0,0,0,0,0,0,67157811.90900001,100000001,100000000,100000001
AQUA,NONE,False,4096,0,0.0,Mix41,3.2329434672962716,1.6585844674858317,0.08351267268830494,0,0,0,0,0,11316,9000,91737629.516625,100000001,100000000,100000002
AQUA,NONE,False,2048,0,0.0,Mix41,2.9156881544426003,1.4750690177418055,0.07150471904889334,0,0,0,0,0,21598,17759,104694883.85837501,100000001,100000000,100000003
AQUA,NONE,False,1024,0,0.0,Mix41,2.476299547750942,1.210129558890834,0.05785850908415555,0,0,0,0,0,40120,34323,127264373.14125001,100000001,100000000,100000001
AQUA,NONE,False,512,0,0.0,Mix41,2.0271685381824285,0.87505823950113,0.04072667836954534,0,0,0,0,0,79061,71232,176968194.08037502,100000001,100000000,100000002
AQUA,NONE,False,256,0,0.0,Mix41,1.5827227360540326,0.5419044026118209,0.027442727333333333,0,0,0,0,0,121102,111467,219676582.67206252,100000001,100000000,82328182
