,mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,ipc_0,ipc_1,ipc_2,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2,aipc_0,aipc_1,aipc_2,aipc_3,soa_0,aos_0,soa_1,aos_1,soa_2,aos_2,weighted_speedup,harmonic_speedup,max_slowdown,min_insn,weighted_speedup_base,harmonic_speedup_base,max_slowdown_base,total_energy_base,norm_weighted_speedup,norm_harmonic_speedup,norm_max_slowdown,norm_energy
0,AQUA,MEAN,False,4096,32,0.65,Mix41,3.623572987147803,2.5020313992930863,0.3361107587363368,0,0,0,0,0,1629,395,23667805.94325,100000001,100000000,100000003,3.9141489751701264,3.2219777027543848,0.3669773800503069,0.9999823903101066,0.9257626651755906,1.0801904609215676,0.7765514321077284,1.2877447116230072,0.915889580688219,1.091834672088505,2.618203677971538,0.8671097022981771,0.22344856789227163,100000000,1.8116395762569804,0.5030271325060386,0.6814709460838275,67157811.90900001,1.4452122333190554,1.7237831644951436,0.32789155455027325,0.3524207425834583
1,AQUA,MEAN,False,2048,32,0.65,Mix41,3.463944752021567,2.400105911873679,0.3121935890197969,0,0,0,0,0,3407,933,26021883.3555625,100000001,100000000,100000001,3.9141489751701264,3.2219777027543848,0.3669773800503069,0.9999823903101066,0.8849803045299287,1.1299686500155117,0.7449169836966566,1.3424314680509657,0.8507161639690163,1.175480192282347,2.480613452195602,0.8223954035687997,0.2550830163033434,100000000,1.8116395762569804,0.5030271325060386,0.6814709460838275,67157811.90900001,1.3692643308890309,1.6348927332640992,0.3743123867117377,0.3874736626443786
2,AQUA,MEAN,False,1024,32,0.65,Mix41,3.2363326034648243,2.2240698311666334,0.2308968138655823,0,0,0,0,0,9039,3122,34615838.191875,100000001,100000000,100000003,3.9141489751701264,3.2219777027543848,0.3669773800503069,0.9999823903101066,0.8268291840691012,1.2094396512211478,0.6902809505060615,1.4486854943148524,0.6291854114657692,1.5893566217156403,2.146295546040932,0.7063008541037643,0.37081458853423077,100000000,1.8116395762569804,0.5030271325060386,0.6814709460838275,67157811.90900001,1.1847254686693158,1.404100909199536,0.5441385148775176,0.5154402326088298
3,AQUA,MEAN,False,512,32,0.65,Mix41,2.826659143607653,1.7095514485747436,0.1690303758687694,0,0,0,0,0,20012,8252,48281974.3295,100000001,100000000,100000001,3.9141489751701264,3.2219777027543848,0.3669773800503069,0.9999823903101066,0.7221644248951444,1.3847262001935312,0.5305907136207965,1.8846918619738258,0.4606016203113063,2.1710735609747336,1.7133567588272474,0.5514207552933215,0.5393983796886936,100000000,1.8116395762569804,0.5030271325060386,0.6814709460838275,67157811.90900001,0.9457492435483251,1.0962047962426797,0.7915207284894907,0.7189331063216131
4,AQUA,MEAN,False,256,32,0.65,Mix41,2.408509596694349,1.227853603604212,0.1019223110278783,0,0,0,0,0,47611,21275,77031327.8720625,100000001,100000000,100000001,3.9141489751701264,3.2219777027543848,0.3669773800503069,0.9999823903101066,0.6153341663725674,1.6251332278444104,0.38108693382780146,2.6240731739489696,0.2777345868399473,3.600559841602585,1.2741556870403161,0.3821769855279334,0.7222654131600528,100000000,1.8116395762569804,0.5030271325060386,0.6814709460838275,67157811.90900001,0.7033163239195972,0.7597542176780008,1.0598623716985391,1.1470196196451616
5,AQUA,MEAN,False,128,32,0.65,Mix41,2.097425387291167,0.7083137339971829,0.0514120183188258,0,0,0,0,0,116214,54068,159324236.11575,100000001,100000000,100000001,3.9141489751701264,3.2219777027543848,0.3669773800503069,0.9999823903101066,0.5358573218843832,1.8661683981165427,0.2198381861524566,4.54880026760458,0.1400958781486151,7.137968748368101,0.8957913861854548,0.22135422811598693,0.8599041218513849,100000000,1.8116395762569804,0.5030271325060386,0.6814709460838275,67157811.90900001,0.49446446077107953,0.44004431135397987,1.2618353383852234,2.3723857521093317
6,AQUA,MEAN,False,64,32,0.65,Mix41,1.8183592421035115,0.4624128030489354,0.0257582363333333,0,0,0,0,0,192068,97354,370609670.5396523,100000001,100000000,77274709,3.9141489751701264,3.2219777027543848,0.3669773800503069,0.9999823903101066,0.46456056058123785,2.152571881583843,0.14351831257355716,6.967751934008227,0.07019025622179287,14.246991731161643,0.6782691293765879,0.12838445194945694,0.9298097437782071,77274709,1.8116395762569804,0.5030271325060386,0.6814709460838275,67157811.90900001,0.374395182279003,0.2552237119096468,1.364415825973939,5.518489361175655
7,Graphene,MEAN,False,4096,32,0.65,Mix41,3.789853856415021,2.6318468416732523,0.3600949315368265,1728,0,0,0,0,0,0,20750408.6909375,100000001,100000000,100000002,3.9141489751701264,3.2219777027543848,0.3669773800503069,0.9999823903101066,0.9682446632604976,1.0327968105009413,0.8168420406582438,1.2242269009491238,0.981245578371787,1.0191128724975584,2.7663322822905285,0.9157127375883427,0.18315795934175616,100000000,1.8116395762569804,0.5030271325060386,0.6814709460838275,67157811.90900001,1.5269771750107348,1.8204042653252905,0.2687685519012955,0.30897982082940195
8,Graphene,MEAN,False,2048,32,0.65,Mix41,3.810208233593196,2.6842683087230665,0.3624763493699405,4088,0,0,0,0,0,0,20612159.248125,100000001,100000000,100000001,3.9141489751701264,3.2219777027543848,0.3669773800503069,0.9999823903101066,0.9734448682877707,1.0272795435851834,0.8331120064637181,1.2003187953618213,0.9877348552661492,1.0124174465125522,2.7942917300176378,0.9259214147854797,0.16688799353628192,100000000,1.8116395762569804,0.5030271325060386,0.6814709460838275,67157811.90900001,1.542410403614007,1.8406987515218467,0.2448937764629999,0.30692124508247576
9,Graphene,MEAN,False,1024,32,0.65,Mix41,3.824189797597109,2.7098863918068643,0.3603477537404087,10069,0,0,0,0,0,0,20682833.70975,100000001,100000000,100000001,3.9141489751701264,3.2219777027543848,0.3669773800503069,0.9999823903101066,0.977016925481456,1.023523721973617,0.8410630494091418,1.1889715054091528,0.9819345096719876,1.0183978566289997,2.8000144845625856,0.9285358326605249,0.15893695059085822,100000000,1.8116395762569804,0.5030271325060386,0.6814709460838275,67157811.90900001,1.5455692850051785,1.8458961210196316,0.2332263048105171,0.30797360905348725
