mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,core_id,pN_key,pN_val
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,0,49
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,1,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,2,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,3,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,4,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,5,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,6,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,7,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,8,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,9,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,10,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,11,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,12,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,13,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,14,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,15,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,16,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,17,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,18,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,19,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,20,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,21,134
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,22,139
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,23,139
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,24,139
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,25,144
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,26,144
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,27,149
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,28,149
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,29,154
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,30,154
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,31,154
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,32,159
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,33,159
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,34,159
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,35,164
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,36,164
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,37,169
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,38,169
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,39,169
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,40,169
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,41,174
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,42,184
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,43,189
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,44,199
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,45,199
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,46,199
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,47,199
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,48,199
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,49,199
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,50,204
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,51,204
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,52,209
Dummy,NONE,False,0,0,0.0,437.leslie3d,0,53,209
