mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,ipc_0,ipc_1,ipc_2,ipc_3,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2,insn_3
Hydra,MEAN,False,512,32,0.65,Mix1,1.0643982,0.8316682,1.0622334,0.490651,0,0,0,0,0,0,0,696852.50525,10643982,8316682,10622334,4906510
Hydra,MEAN,False,64,32,0.65,Mix1,1.001012,0.7377753,1.0025736,0.4236784,1466,0,0,0,0,0,0,678788.4805625001,10010120,7377753,10025736,4236784
Dummy,NONE,False,0,0,0.0,Mix1,1.0643406,0.8325581,1.0660676,0.494827,0,0,0,0,0,0,0,696405.6783750001,10643406,8325581,10660676,4948270
Graphene,NONE,False,512,0,0.0,Mix1,1.0643406,0.8325581,1.0660676,0.494827,0,0,0,0,0,0,0,696405.6783750001,10643406,8325581,10660676,4948270
Graphene,NONE,False,64,0,0.0,Mix1,1.0564014,0.7899927,1.0616166,0.4497013,1387,0,0,0,0,0,0,691745.707125,10564014,7899927,10616166,4497013
Hydra,NONE,False,512,0,0.0,Mix1,1.0643982,0.8316682,1.0622334,0.490651,0,0,0,0,0,0,0,696852.50525,10643982,8316682,10622334,4906510
Hydra,NONE,False,64,0,0.0,Mix1,1.001012,0.7377753,1.0025736,0.4236784,1466,0,0,0,0,0,0,678788.4805625001,10010120,7377753,10025736,4236784
BlockHammer,NONE,False,512,0,0.0,Mix1,1.0859485,0.8342372,1.0758225,0.4344101,0,0,0,0,0,0,0,693465.0449375,10859485,8342372,10758225,4344101
BlockHammer,NONE,False,64,0,0.0,Mix1,0.007077,0.0063476,0.0070258,0.0009905,0,0,0,0,0,0,0,436015.36275,70770,63476,70258,9905
Graphene,MEAN,False,512,32,0.65,Mix3,0.4413678,1.4627219,0.3663518,0.638645,0,0,0,0,0,0,0,696322.1815000001,4413678,14627219,3663518,6386450
Graphene,MEAN,False,64,32,0.65,Mix3,0.4165276,1.2820571,0.3272315,0.5943847,2577,0,0,0,0,0,0,681962.6543125,4165276,12820571,3272315,5943847
Hydra,MEAN,False,512,32,0.65,Mix3,0.4396863,1.4425232,0.3661956,0.6393492,0,0,0,0,0,0,0,696531.6146250002,4396863,14425232,3661956,6393492
Hydra,MEAN,False,64,32,0.65,Mix3,0.3671826,1.1542995,0.2939493,0.5337535,2506,0,0,0,0,0,0,663768.183375,3671826,11542995,2939493,5337535
Dummy,NONE,False,0,0,0.0,Mix3,0.4413678,1.4627219,0.3663518,0.638645,0,0,0,0,0,0,0,696322.1815000001,4413678,14627219,3663518,6386450
Graphene,NONE,False,512,0,0.0,Mix3,0.4413678,1.4627219,0.3663518,0.638645,0,0,0,0,0,0,0,696322.1815000001,4413678,14627219,3663518,6386450
Graphene,NONE,False,64,0,0.0,Mix3,0.4143808,1.319611,0.325237,0.5931439,2580,0,0,0,0,0,0,681547.54525,4143808,13196110,3252370,5931439
Hydra,NONE,False,512,0,0.0,Mix3,0.4396863,1.4425232,0.3661956,0.6393492,0,0,0,0,0,0,0,696531.6146250002,4396863,14425232,3661956,6393492
Hydra,NONE,False,64,0,0.0,Mix3,0.3626274,1.1682333,0.2946829,0.5269873,2449,0,0,0,0,0,0,663348.5780625,3626274,11682333,2946829,5269873
BlockHammer,NONE,False,512,0,0.0,Mix3,0.4413678,1.4627219,0.3663518,0.638645,0,0,0,0,0,0,0,696322.1815000001,4413678,14627219,3663518,6386450
BlockHammer,NONE,False,64,0,0.0,Mix3,0.0003242,0.0071538,0.0006219,0.0006364,0,0,0,0,0,0,0,435399.45900000003,3242,71538,6219,6364
Graphene,MEAN,False,512,32,0.65,Mix6,0.3129408,0.2730671,1.0637262,0.2749236,0,0,0,0,0,0,0,693262.538375,3129408,2730671,10637262,2749236
Graphene,MEAN,False,64,32,0.65,Mix6,0.299641,0.2547721,0.9941077,0.2527511,2656,0,0,0,0,0,0,675402.1924375,2996410,2547721,9941077,2527511
Hydra,MEAN,False,512,32,0.65,Mix6,0.3118802,0.2779649,1.0597278,0.2762971,0,0,0,0,0,0,0,694486.0890000002,3118802,2779649,10597278,2762971
Hydra,MEAN,False,64,32,0.65,Mix6,0.2688758,0.2325996,0.9804232,0.2336781,2472,0,0,0,0,0,0,658878.6558749999,2688758,2325996,9804232,2336781
Dummy,NONE,False,0,0,0.0,Mix6,0.3129408,0.2730671,1.0637262,0.2749236,0,0,0,0,0,0,0,693262.538375,3129408,2730671,10637262,2749236
Graphene,NONE,False,512,0,0.0,Mix6,0.3129408,0.2730671,1.0637262,0.2749236,0,0,0,0,0,0,0,693262.538375,3129408,2730671,10637262,2749236
Graphene,NONE,False,64,0,0.0,Mix6,0.2958385,0.2536349,1.0047992,0.2520911,2639,0,0,0,0,0,0,675334.8208750001,2958385,2536349,10047992,2520911
Hydra,NONE,False,512,0,0.0,Mix6,0.3118802,0.2779649,1.0597278,0.2762971,0,0,0,0,0,0,0,694486.0890000002,3118802,2779649,10597278,2762971
Hydra,NONE,False,64,0,0.0,Mix6,0.2684342,0.2307114,1.0021784,0.2278436,2433,0,0,0,0,0,0,658388.6161875001,2684342,2307114,10021784,2278436
BlockHammer,NONE,False,512,0,0.0,Mix6,0.3121488,0.2745266,1.0635774,0.2748411,0,0,0,0,0,0,0,693403.9674375,3121488,2745266,10635774,2748411
BlockHammer,NONE,False,64,0,0.0,Mix6,0.0002402,0.0004013,0.0070898,0.0003735,0,0,0,0,0,0,0,435013.84025,2402,4013,70898,3735
Graphene,MEAN,False,512,32,0.65,Mix8,0.4011256,0.4199498,0.3517374,0.5685264,0,0,0,0,0,0,0,686336.64275,4011256,4199498,3517374,5685264
Graphene,MEAN,False,64,32,0.65,Mix8,0.3882556,0.3852304,0.3354935,0.5116094,1702,0,0,0,0,0,0,674618.5558750001,3882556,3852304,3354935,5116094
Hydra,MEAN,False,512,32,0.65,Mix8,0.4024095,0.4197218,0.350545,0.5697783,0,0,0,0,0,0,0,685986.079625,4024095,4197218,3505450,5697783
Hydra,MEAN,False,64,32,0.65,Mix8,0.3597294,0.3565284,0.3131579,0.4815205,1757,0,0,0,0,0,0,661288.5255625,3597294,3565284,3131579,4815205
Dummy,NONE,False,0,0,0.0,Mix8,0.4011256,0.4199498,0.3517374,0.5685264,0,0,0,0,0,0,0,686336.64275,4011256,4199498,3517374,5685264
Graphene,NONE,False,512,0,0.0,Mix8,0.4011256,0.4199498,0.3517374,0.5685264,0,0,0,0,0,0,0,686336.64275,4011256,4199498,3517374,5685264
Graphene,NONE,False,64,0,0.0,Mix8,0.3882556,0.3852304,0.3354935,0.5116094,1702,0,0,0,0,0,0,674618.5558750001,3882556,3852304,3354935,5116094
Hydra,NONE,False,512,0,0.0,Mix8,0.4024095,0.4197218,0.350545,0.5697783,0,0,0,0,0,0,0,685986.079625,4024095,4197218,3505450,5697783
Hydra,NONE,False,64,0,0.0,Mix8,0.3597294,0.3565284,0.3131579,0.4815205,1757,0,0,0,0,0,0,661288.5255625,3597294,3565284,3131579,4815205
BlockHammer,NONE,False,512,0,0.0,Mix8,0.4011256,0.4199498,0.3517374,0.5685264,0,0,0,0,0,0,0,686336.64275,4011256,4199498,3517374,5685264
